textID,text,selected_text,sentiment,lemma
549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative,  Sooo SAD -PRON- will miss -PRON- here in San Diego ! ! !
088c60f138,my boss is bullying me...,bullying me,negative,-PRON- boss be bully -PRON- ...
9642c003ef, what interview! leave me alone,leave me alone,negative,  what interview ! leave -PRON- alone
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative,"  son of * * * * , why couldn`t -PRON- put -PRON- on the release -PRON- already buy"
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive,2 a.m. feeding for the baby be fun when -PRON- be all smile and coo
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive,  Journey ! ? wow ... u just become cool .   hehe ... ( be that possible ! ? )
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive,-PRON- really really like the song Love Story by Taylor Swift
74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative,-PRON- Sharpie be run dangerously low on ink
04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,negative,i want to go to music tonight but i lose -PRON- voice .
8a939bfb59,"Uh oh, I am sunburned","Uh oh, I am sunburned",negative,"uh oh , -PRON- be sunburn"
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",*sigh*,negative,"  S`ok , try to plot alternative as -PRON- speak * sigh *"
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,negative,"i`ve be sick for the past few day   and thus , -PRON- hair look wierd .   if i do not have a hat on -PRON- would look ... http://tinyurl.com/mnf4kw"
af3fed7fc3,is back home now      gonna miss every one,onna,negative,be back home now       go to miss every one
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive,play ghost Online be really interesting . the new update be Kirin pet and Metamorph for third job .   can`t wait to have a dragon pet
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive,"the free fillin ` app on -PRON- ipod be fun , -PRON- be addict"
852edc3769,  I`m sorry.,I`m sorry.,negative,   I`m sorry .
bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative,on the way to Malaysia ... no internet access to Twit
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive,juss come backk from Berkeleyy ; omg -PRON- madd fun out there   have not be out there in a minute . whassqoodd ?
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,go to sleep and there be a power cut in Noida   Power back up not work too
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive,I`m go home now . have -PRON- see -PRON- new twitter design ? quite .... heavenly isn ` * * * * ?
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,hope,positive,i hope unni will make the audition . fight dahye unni !
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,  if -PRON- be any consolation -PRON- get -PRON- BMI test hahaha -PRON- say -PRON- be obese   well so much for be unhappy for about 10 minute .
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive,  that` very funny .   cute kid .
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,negative,bear and raise in NYC and live in Texas for the past 10 year !   -PRON- still miss NY
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,i`m soooooo sleeeeepy ! ! ! the last day o ` school be today .... sniffle ....
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive,"a little happy for the wine jeje ok it`sm -PRON- free time so who care , jaja i love this day"
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,avid fan of,positive,-PRON- be an avid fan of * * * * magazine and i love -PRON- magazine
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,I love to!,positive,  -PRON- love to ! but I`m only available from 5 p.m. .   and where dear ? Would love to help   convert -PRON- vids.ï¿½
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative,egh blah and boooooooooooo i dunno wanna go to work   HANGOVERS SUCKKKKKK -PRON- be a drunk mess !
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative,"i donbt like to peel prawn , i also do not like go shop , run out of money and crawl round the car look for more"
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative,  which case ? -PRON- get a new one last week and i`m not thrill at all with -PRON- .
11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative,  -PRON- be * * * * ... u have dissappointe -PRON- that past few day
d8ba2a99a9, romance zero is funny,romance zero is funny,positive,  romance zero be funny
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative,bah a coworker run into work late and -PRON- bag smack into -PRON- knee   -PRON- really hurt now
703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative,aw . tear ace of heart   # Hunchback
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative,"i lose all -PRON- friend , i`m alone and sleepy .. i wanna go home"
2a9765b7f9,I give in to easily,I give in to easily,negative,-PRON- give in to easily
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive,what well way to spoil mum than to let -PRON- kick back and relax over a nice meal and a bottle of -PRON- favorite wine ? -PRON- wine be a red
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative,mannnn ..... _ get an iphone ! ! ! -PRON- be jealous ....   http://bit.ly/NgnaR
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,   He`s awesome ... have -PRON- work with -PRON- before ? he`s a good friend .
fa2654e730,Chilliin,Chilliin,positive,Chilliin
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,better,positive,  a celtic - laker rematch sound better don`t -PRON- think ? lol
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",BADDD.,negative,"wow , i am really missin the fam(ily ) today . BADDD ."
0a61cbf4b5,I am sooo tired,I am sooo tired,negative,-PRON- be sooo tired
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,  thank YYYYYYYYYOOOOOOOOOOUUUUU !
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,lucky,positive,  lucky kid ... i so wanna see loserville   pity -PRON- be in oz ....
64ed512788,Sick. With a flu like thing.,Sick.,negative,sick . with a flu like thing .
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative,"still no reply from   about -PRON- SimFinger problem   so no irape parody video until -PRON- get a response , sorry guy"
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,Happy Star Wars day everyone ! and enjoy the holiday ( UK )
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,negative,i miss -PRON- bby       wish -PRON- be go tomorrow to make -PRON- do good .
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,cool,positive,  well what -PRON- be work on isn`t QUITE ready to post about publicly ( still beta testing ) but -PRON- a cool new script -PRON- code
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive,  SWEEEEET - San Fran be awesome ! ! ! !   love -PRON- there
